CertainClose,CertainOpen
03/01/13 06:20:00,03/01/13 09:15:00
03/01/13 15:05:00,03/01/13 18:00:00
03/02/13 06:50:00,03/02/13 09:45:00
03/02/13 15:50:00,03/02/13 18:45:00
03/03/13 07:35:00,03/03/13 10:30:00
03/03/13 17:05:00,03/03/13 20:00:00
03/04/13 08:35:00,03/04/13 11:30:00
03/04/13 18:05:00,03/05/13 01:00:00
03/05/13 09:50:00,03/05/13 12:48:00
03/05/13 19:20:00,03/05/13 22:15:00
03/05/13 23:38:00,03/06/13 00:01:00
03/06/13 11:50:00,03/06/13 13:45:00
03/06/13 18:20:00,03/07/13 00:01:00
03/07/13 12:35:00,03/07/13 15:00:00
03/07/13 18:20:00,03/08/13 00:30:00
03/08/13 13:35:00,03/08/13 16:00:00
03/08/13 18:30:00,03/09/13 01:15:00
03/09/13 14:35:00,03/09/13 18:00:00
03/09/13 20:35:00,03/10/13 01:59:59
03/10/13 15:05:00,03/10/13 18:30:00
03/10/13 22:40:00,03/11/13 02:45:00
03/11/13 15:55:00,03/12/13 03:15:00
03/12/13 16:30:00,03/13/13 00:01:00
03/13/13 05:05:00,03/13/13 07:45:00
03/13/13 13:35:00,03/13/13 16:30:00
03/13/13 20:20:00,03/14/13 00:01:00
03/14/13 05:35:00,03/14/13 08:30:00
03/14/13 14:00:00,03/15/13 00:01:00
03/15/13 06:18:00,03/15/13 09:00:00
03/15/13 15:05:00,03/15/13 18:00:00
03/15/13 23:20:00,03/16/13 00:01:00
03/16/13 06:50:00,03/16/13 09:30:00
03/16/13 15:50:00,03/16/13 18:45:00
03/17/13 07:35:00,03/17/13 10:00:00
03/17/13 16:35:00,03/17/13 19:30:00
03/17/13 23:45:00,03/18/13 00:01:00
03/18/13 08:35:00,03/18/13 11:00:00
03/18/13 17:35:00,03/18/13 20:30:00
03/18/13 23:35:00,03/19/13 00:01:00
03/19/13 09:50:00,03/19/13 11:45:00
03/19/13 18:25:00,03/20/13 00:01:00
03/20/13 11:05:00,03/20/13 13:00:00
03/20/13 19:05:00,03/21/13 00:01:00
03/21/13 11:05:00,03/21/13 13:00:00
03/21/13 19:05:00,03/22/13 01:15:00
03/22/13 13:05:00,03/22/13 15:00:00
03/22/13 21:35:00,03/23/13 00:50:00
03/23/13 13:50:00,03/23/13 16:00:00
03/23/13 22:20:00,03/24/13 01:50:00
03/24/13 14:35:00,03/24/13 16:45:00
03/24/13 21:20:00,03/25/13 01:45:00
03/25/13 12:35:00,03/26/13 02:15:00
03/26/13 15:50:00,03/26/13 18:30:00
03/26/13 21:40:00,03/27/13 00:01:00
03/27/13 03:50:00,03/27/13 06:45:00
03/27/13 12:20:00,03/27/13 15:15:00
03/27/13 22:35:00,03/28/13 00:01:00
03/28/13 04:35:00,03/28/13 07:15:00
03/28/13 13:05:00,03/28/13 16:00:00
03/29/13 05:05:00,03/29/13 08:00:00
