Date,Processing Crew,start time,end time,Gear Method,Species,FL (mm),WW (kg),Sample ID,Transport ID,Comments
3/5/2019,JN/LD/SJ,11:10:00,,Fyke,SB,377,,201934-F,,
3/5/2019,JN/LD/SJ,11:10:00,,Fyke,SB,376,0.58,201934-F,,
3/5/2019,JN/LD/SJ,11:59:00,,Hoop,BCR,327,0.52,201934-H,,
3/5/2019,JN/LD/SJ,11:59:00,,Hoop,BG,155,0.06,201934-H,,bycatch
3/5/2019,JN/LD/SJ,11:59:00,,Hoop,BG,133,0.04,201934-H,,bycatch
3/5/2019,JN/LD/SJ,11:59:00,,Hoop,BG,146,0.04,201934-H,,bycatch
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,405,0.71,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,387,0.44,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,350,0.21,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,380,0.24,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,385,0.58,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,350,0.5,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,395,0.71,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,387,0.58,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,385,0.58,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,359,0.5,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,385,0.62,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,9:00:00,,Fyke,SB,380,0.55,201935-F-1-F-10-1,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,410,0.6,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,250,0.4,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,405,0.59,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,450,0.65,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,305,1,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,354,0.75,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,350,1,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,436,1,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,358,1,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,436,1,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/7/2019,JN/CS/BP,10:00:00,,Fyke,SB,360,1,201935-F-2-F-10-2,201937-T-USER-PFRS-2-4,
3/13/2019,JN/SJ/BP,9:00:00,,Fyke,SB,365,0.42,2019312-F-1-F-10-1,2019313-T-USER-PFRS-1-2,
3/13/2019,JN/SJ/BP,9:00:00,,Fyke,SB,375,0.43,2019312-F-1-F-10-1,2019313-T-USER-PFRS-1-2,
3/13/2019,JN/SJ/BP,9:00:00,,Fyke,SB,360,0.4,2019312-F-1-F-10-1,2019313-T-USER-PFRS-1-2,
3/13/2019,JN/SJ/BP,9:15:00,,Fyke,SB,400,0.65,2019312-F-2-F-10-2,2019313-T-USER-PFRS-1-2,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,375,0.53,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,379,0.4,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,438,0.58,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,385,0.41,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,384,0.46,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,354,0.4,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,365,0.43,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,353,0.38,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
3/14/2019,JN/SS/BP,9:25:00,,Fyke,SB,382,0.5,2019313-F-4-F-10-1,2019314-T-USER-PFRS-1-4,
