Species,Length_cm,Age
Largemouth Bass,23.5,1
Largemouth Bass,30,2
Largemouth Bass,32,3
Largemouth Bass,33,3
Largemouth Bass,39.5,3
Largemouth Bass,28,1
Largemouth Bass,30,2
Largemouth Bass,31.5,2
Largemouth Bass,29.5,2
Largemouth Bass,32.5,4
Largemouth Bass,33,3
Largemouth Bass,45.5,5
Largemouth Bass,24,1
Largemouth Bass,26.5,1
Largemouth Bass,24.5,1
Largemouth Bass,26.5,1
Largemouth Bass,25.5,1
Largemouth Bass,27,1
Largemouth Bass,27.5,1
Largemouth Bass,30.5,2
Largemouth Bass,32,4
Largemouth Bass,31,3
Largemouth Bass,37.5,3
Largemouth Bass,45.5,5
Largemouth Bass,38,3
Largemouth Bass,37,4
Largemouth Bass,35.5,3
Largemouth Bass,32.5,2
Largemouth Bass,34.5,2
Largemouth Bass,32,3
Largemouth Bass,36.1,3
Largemouth Bass,35.8,3
Largemouth Bass,38.5,4
Largemouth Bass,36.4,4
Largemouth Bass,44.3,6
Largemouth Bass,35.8,3
Striped Bass,53.5,4
Striped Bass,54,5
Striped Bass,54.5,6
Striped Bass,51,5
Striped Bass,69,7
Striped Bass,50,5
Striped Bass,40.5,4
Striped Bass,24,2
Striped Bass,33,2
Striped Bass,40,4
Striped Bass,45,4
Striped Bass,43,4
Striped Bass,31,2
Striped Bass,80.5,8
Striped Bass,30,2
Striped Bass,27.5,2
Striped Bass,32,2
Striped Bass,31,2
Striped Bass,34,3
Striped Bass,37,4
Striped Bass,30,2
Striped Bass,33,3
Striped Bass,31.5,3
Striped Bass,46.5,4
Striped Bass,39.5,3
Striped Bass,41,5
Striped Bass,57,5
Striped Bass,44,5
Striped Bass,42,5
Striped Bass,63.5,8
Striped Bass,44,5
Striped Bass,50,7
Striped Bass,42.5,5
Striped Bass,39,4
Striped Bass,46.5,5
Striped Bass,40,5
Striped Bass,46,7
Striped Bass,37,3
Striped Bass,46.5,6
Striped Bass,52,6
Striped Bass,44,5
Striped Bass,46.5,7
Striped Bass,39.5,4
Striped Bass,46,7
Striped Bass,35.5,3
Striped Bass,45.5,6
Striped Bass,48,6
Striped Bass,46,6
Striped Bass,33.5,3
Striped Bass,39.5,3
Striped Bass,39,4
Striped Bass,39,4
Striped Bass,43,5
Striped Bass,37,3
Striped Bass,47.5,7
Striped Bass,37.5,3
Striped Bass,43.5,6
Striped Bass,47.5,6
Striped Bass,39,3
Striped Bass,38,4
Striped Bass,42,4
Striped Bass,43,5
Striped Bass,45,5
Striped Bass,36.5,3
Striped Bass,45,5
Striped Bass,49,7
Striped Bass,8.5,4
Striped Bass,45,5
Striped Bass,37.5,3
Striped Bass,48.5,7
Striped Bass,47.5,6
Striped Bass,47,7
Striped Bass,43.5,5
Striped Bass,44,5
Striped Bass,34.5,2
Striped Bass,43.5,6
Striped Bass,39.5,3
Striped Bass,33.5,3
Striped Bass,41,5
Striped Bass,30,2
Striped Bass,32.5,3
Striped Bass,28.5,2
Striped Bass,33.5,3
Striped Bass,30,2
Striped Bass,28.5,2
Striped Bass,34,3
Striped Bass,38,4
Striped Bass,41,4
Striped Bass,37,4
Striped Bass,37,4
Striped Bass,29.5,2
Striped Bass,38,4
Striped Bass,33,3
Striped Bass,30.5,2
Striped Bass,34.5,3
Striped Bass,29,2
Striped Bass,30,2
Striped Bass,29.5,2
Striped Bass,29.5,2
Striped Bass,42.5,5
Striped Bass,45,4
