TagID,TagType
5011.03,LG
5011.07,LG
5025.22,LG
5039.03,LG
5039.07,LG
5067.07,LG
5094.04,LG
5123.03,LG
5123.07,LG
5165.22,LG
5179.03,LG
5179.07,LG
5200.11,LG
5249,LG
5263.07,LG
5340.11,LG
5347.07,LG
5375.03,LG
5375.07,LG
5431.07,LG
5487.03,LG
5487.07,LG
5501.22,LG
5557.22,LG
5571.03,LG
5571.07,LG
5641.22,LG
5683.03,LG
5683.07,LG
5697.22,LG
5744.11,LG
5753,LG
5781.22,LG
5816.11,LG
5851.03,LG
5851.07,LG
5865.22,LG
5879.03,LG
5879.07,LG
5893.22,LG
5921.22,LG
5991.07,LG
6019.03,LG
6019.07,LG
6061,LG
6096.11,LG
6159.07,LG
6173.22,LG
6180.11,LG
6264.11,LG
6299.03,LG
6299.07,LG
6376.11,LG
6411.03,LG
6411.07,LG
6425.22,LG
6439.03,LG
6509.22,LG
6551.03,LG
6551.07,LG
6579.03,LG
6579.07,LG
6607.03,LG
6607.07,LG
6628.11,LG
6663.03,LG
6663.07,LG
6705.22,LG
6719.07,LG
6747.07,LG
6803.03,LG
6803.07,LG
6831.03,LG
6845,LG
6859.03,LG
6859.07,LG
6887.07,LG
6901.22,LG
6915.07,LG
6936.11,LG
7027.03,LG
7027.07,LG
7097,LG
7132.11,LG
7153.22,LG
7167.07,LG
7223.03,LG
7223.07,LG
7251.03,LG
7251.07,LG
7300.11,LG
7384.11,LG
7419.07,LG
7489,LG
7503.07,LG
7517.22,LG
7531.03,LG
7531.07,LG
7559.03,LG
7559.07,LG
7615.07,LG
7699.07,LG
7713.22,LG
7727.03,LG
7727.07,LG
7755.07,LG
7769.22,LG
7782.04,LG
7783.03,LG
7783.07,LG
7811.07,LG
7832.11,LG
7909.22,LG
7937,LG
7993.22,LG
8063.03,LG
8063.07,LG
8105.22,LG
8147.03,LG
8147.07,LG
8161.22,LG
8203.03,LG
8203.07,LG
8231.03,LG
8231.07,LG
8273.22,LG
8280.11,LG
8301.22,LG
8315.07,LG
8371.07,LG
8385,LG
8399.03,LG
8399.07,LG
8483.03,LG
8483.07,LG
8511.03,LG
8511.07,LG
8539.03,LG
8539.07,LG
8567.03,LG
8567.07,LG
8581.22,LG
8595.07,LG
8679.07,LG
8735.07,LG
8777.22,LG
8791.03,LG
8791.07,LG
8819.03,LG
8819.07,LG
8833.22,LG
8987.03,LG
8987.07,LG
9057.22,LG
9085.22,LG
9092.11,LG
9127.03,LG
